, PRO CASH ,, PRO TJ  ,,,,,,,,,,,,,,Date,Provider,Product,Quantity,Price,Total,Cash/card,,,,,,,,,
,,, $16.00 ,gel jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $25.00 ,flix ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/3, $18.00 ,moiusse tane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Mar,,, $10.00 ,polvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $5.00 ,peineta ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,,,cera azul ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $20.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $108.00 ,, $76.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $53.00 ,TAHE , $15.00 ,TAHE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $55.00 ,FELIX , $61.00 ,FLIX ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, A ,B, R ,I,L,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/abril,,st cm jb, $13.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,tintanegraz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $10.00 ,gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SHAMPOO, $38.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel blanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $16.00 ,gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $10.00 ,polvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $7.00 ,peineta , $35.00 ,tahe 3;51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $73.00 ,, $101.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $22.00 ,TAHE, $88.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $51.00 ,FELIX, $13.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2024, $15.00 ,jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2024, $15.00 ,king mode ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,bby,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2024, $45.00 ,sahmp y trat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,bby 1;6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $18.00 ,mousse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $6.00 ,peineta 3;50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2024, $13.00 ,wax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,MOUSSE,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Apr, $30.00 ,2 gel, $54.00 ,TAH ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $136.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $63.00 ,TAH ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $73.00 ,FLIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SPRAY color, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $20.00 ,protector ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel morado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel morado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,punky color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gel tahe, $15.00 ,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2024, $15.00 ,gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $5.00 ,peinta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2024, $15.00 ,CERAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel purple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,tahe , $18.00 ,muss,5 56 pm lesther,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/21824,,st jb, $13.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
